sequence_id,recording_id,channel_count,user_id,bin_bytes,samples,duration_s,flags_count,flags,rpeaks_count,rpeak_ann_counts,json_ok,annotated_noises_count,annotated_noises_fraction,has_comment,json_keys
659ec124870b3d1d1630be39,659ebe17870b3d549730bc25,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,642,"{""N"": 642}",True,10,0.056078125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d57a230bc56,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,970,"{""N"": 970}",True,11,0.02840625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d5e5430bc51,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,880,"{""N"": 880}",True,2,0.00998046875,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d5e7930bc24,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,498,"{""N"": 498}",True,1,0.000796875,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d609330bc35,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,490,"{""N"": 490}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d6a5630bc32,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,501,"{""N"": 501}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d6f6330bc44,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,677,"{""N"": 677}",True,9,0.01949609375,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d743730bc2e,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,517,"{""N"": 517}",True,8,0.03346484375,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d74f530bc1e,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,458,"{""N"": 458}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d7c1d30bc38,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,497,"{""N"": 497}",True,3,0.0162578125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d8afb30bc4d,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,964,"{""N"": 964}",True,1,0.00065625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d914830bc30,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,497,"{""N"": 497}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
